index,month,day,time,temperature,irradiance,
635,1,27,1200,9.9,491,
636,1,27,1300,10.6,483,
637,1,27,1400,11.2,416,
638,1,27,1500,11.8,322,
639,1,27,1600,12.2,192,
640,1,27,1700,7.7,13,
641,1,27,1800,4.9,0,
642,1,27,1900,4,0,
643,1,27,2000,5.6,0,
644,1,27,2100,3.2,0,
645,1,27,2200,2.1,0,
646,1,27,2300,1.2,0,
647,1,27,2400,3.4,0,
648,1,28,100,1.5,0,
649,1,28,200,0.1,0,
650,1,28,300,-0.9,0,
651,1,28,400,-0.4,0,
652,1,28,500,-0.8,0,
653,1,28,600,-1.9,0,
654,1,28,700,-1.5,0,
655,1,28,800,-0.2,44,
656,1,28,900,1.1,192,
657,1,28,1000,1.8,207,
658,1,28,1100,4.3,441,
659,1,28,1200,5.4,361,
660,1,28,1300,6.3,370,
661,1,28,1400,8.1,383,
662,1,28,1500,8.9,232,
663,1,28,1600,7.8,102,
664,1,28,1700,7.1,16,
665,1,28,1800,5,0,
666,1,28,1900,3.5,0,
667,1,28,2000,2.9,0,
668,1,28,2100,2,0,
669,1,28,2200,1.2,0,
670,1,28,2300,1.6,0,
671,1,28,2400,1.2,0,
672,1,29,100,0.8,0,
673,1,29,200,-0.8,0,
674,1,29,300,-0.1,0,
675,1,29,400,-0.7,0,
676,1,29,500,-1,0,
677,1,29,600,-0.9,0,
678,1,29,700,-2,0,
679,1,29,800,-1.7,28,
680,1,29,900,-0.3,117,
681,1,29,1000,2.4,280,
682,1,29,1100,5.5,372,
683,1,29,1200,5.7,504,
684,1,29,1300,6.7,369,
685,1,29,1400,6.9,333,
686,1,29,1500,8.6,177,
687,1,29,1600,9.1,83,
688,1,29,1700,8.6,18,
689,1,29,1800,6,0,
690,1,29,1900,4.4,0,
691,1,29,2000,3.2,0,
692,1,29,2100,0.7,0,
693,1,29,2200,0.3,0,
694,1,29,2300,-0.8,0,
695,1,29,2400,-0.8,0,
696,1,30,100,-1.4,0,
697,1,30,200,-1.5,0,
698,1,30,300,-1.8,0,
699,1,30,400,-2.2,0,
700,1,30,500,-1.9,0,
701,1,30,600,-3.7,0,
702,1,30,700,-2.3,0,
703,1,30,800,-3.1,25,
704,1,30,900,0,213,
705,1,30,1000,1.1,348,
706,1,30,1100,4,457,
707,1,30,1200,6.4,512,
708,1,30,1300,7.4,511,
709,1,30,1400,9.4,457,
710,1,30,1500,10.9,358,
711,1,30,1600,10.7,214,
712,1,30,1700,6.8,13,
713,1,30,1800,5.1,0,
714,1,30,1900,3.3,0,
715,1,30,2000,2.6,0,
716,1,30,2100,2.2,0,
717,1,30,2200,3.2,0,
718,1,30,2300,2.9,0,
719,1,30,2400,2.7,0,
720,1,31,100,2.3,0,
721,1,31,200,2.1,0,
722,1,31,300,1.9,0,
723,1,31,400,0.7,0,
724,1,31,500,0.7,0,
725,1,31,600,1.2,0,
726,1,31,700,1.4,0,
727,1,31,800,3,15,
728,1,31,900,4,97,
729,1,31,1000,3.7,166,
730,1,31,1100,5.8,304,
731,1,31,1200,8.5,273,
732,1,31,1300,10,374,
733,1,31,1400,8.5,251,
734,1,31,1500,8,221,
735,1,31,1600,8.8,94,
736,1,31,1700,8.8,22,
737,1,31,1800,7.5,0,
738,1,31,1900,7,0,
739,1,31,2000,5.9,0,
740,1,31,2100,5.5,0,
741,1,31,2200,4,0,
742,1,31,2300,3.3,0,
743,1,31,2400,3.8,0,
744,2,1,100,3.9,0,
745,2,1,200,4.6,0,
746,2,1,300,4.2,0,
747,2,1,400,4.2,0,
748,2,1,500,3.5,0,
749,2,1,600,2.7,0,
750,2,1,700,0.9,0,
751,2,1,800,1.5,44,
752,2,1,900,2.2,126,
753,2,1,1000,4.3,162,
754,2,1,1100,6.4,297,
755,2,1,1200,8,217,
756,2,1,1300,7.9,149,
757,2,1,1400,8.4,147,
758,2,1,1500,8.7,63,
759,2,1,1600,12.9,78,
760,2,1,1700,12.6,7,
